abstract_id,line_id,abstract_text,line_number,total_lines,target
10839906,10839906_10_14,No difference was seen in elimination half-lives of the metabolites .,10,14,RESULTS
16310886,16310886_10_18,Overall survival rates were 334 days in the GC combination and 304 days in the VP combination .,10,18,RESULTS
23062413,23062413_3_13,"Plasma and urine were sampled before induction of anesthesia , and hepcidin-25 was quantified by competitive enzyme-linked immunoassay .",3,13,METHODS
19584772,19584772_6_11,"At day 30 , 85 percent and 87 percent of Dysport-treated patients were responders as assessed by blinded evaluator and patient self-evaluation , respectively , compared with 3 percent and 5 percent of placebo-treated patients , respectively ( p < 0.001 ) .",6,11,RESULTS
14976565,14976565_1_10,This may potentiate the inhibitory effect of antibiotics against Helicobacter pylori .,1,10,OBJECTIVE
22104275,22104275_8_11,"In those without prior CVD , increasing numbers of metabolic syndrome variables ( excluding waist ) escalated risk .",8,11,RESULTS
8172789,8172789_4_7,No statistically significant difference between the two treatments was seen in either response or survival .,4,7,RESULTS
21143248,21143248_12_14,L-cysteine can be used to decrease acetaldehyde concentration in the achlorhydric stomach during alcohol exposure .,12,14,CONCLUSIONS
16972831,16972831_12_13,We conclude that pediatric gastroscopy is quicker and has fewer airway complications when performed through the ProSeal LMA than using nasal cannulae and a conventional approach by experienced users .,12,13,CONCLUSIONS
23966217,23966217_1_16,Two of the suggested treatments for PPC are systemic steroid and honey plus coffee .,1,16,BACKGROUND
15599834,15599834_2_10,Outcome was analyzed separately for those on a low dose ( < or = median ) of the ACEI or digitalis versus high dose ( > median ) .,2,10,RESULTS
9246958,9246958_3_13,Each patient underwent three successive tests for each of the three markers .,3,13,METHODS
16297047,16297047_3_12,The assessor was ignorant of the combination administered .,3,12,METHODS
9000658,9000658_10_12,MMF proved superior to AZA as a posttransplant immunosuppressant in conjunction with cyclosporine and corticosteroids .,10,12,CONCLUSIONS
22356661,22356661_1_13,The following study compares three different educational concepts to increase toothbrushing adherence in young adults .,1,13,OBJECTIVE
10406247,10406247_7_15,Procedure duration and doses of midazolam and meperidine were measured .,7,15,METHODS
16685043,16685043_3_9,A crossover controlled trial was conducted in 17 type 2 diabetes patients with macroalbuminuria ( 24-h UAER > or = 200 microg/min ) .,3,9,METHODS
22776810,22776810_5_12,Even though all three groups have significantly lower postoperative hb and htc values with respect to preoperative levels both local anesthetic groups had significantly higher postoperative hb and htc values than saline ( p < 0.001 ) .,5,12,RESULTS
19294951,19294951_1_11,"Participants were randomly assigned to an Extended ( 10 h time in bed [ TIB ] ) or Habitual TIB [ mean ( SD ) hours = 7.09 ( 0.7 ) ] sleep group for one week , followed by 1 Baseline ( 10 hours or habitual TIB ) , 7 Sleep Restriction ( 3 h TIB ) , and 5 Recovery Sleep nights ( 8 h TIB ) .",1,11,METHODS
18021576,18021576_7_29,The aim was to demonstrate equivalence in exercise time between those randomised to functional tests and those randomised to angiography [ defined as the confidence interval ( CI ) for mean difference from angiography within 1 minute ] .,7,29,METHODS
25771249,25771249_5_18,Computer-generated allocation was done in blocks of four ( two individuals randomly allocated to each group ) at each site .,5,18,METHODS
15220020,15220020_5_12,"Two hundred twelve patients ( 63 % female , 37 % male ; 76 % white , 24 % other ; mean [ SD ] age , 20.9 [ 4.4 ] years ; age range , 16-41 years ) were enrolled in the study and received a single oral dose of rofecoxib 50 mg ( n = 90 ) , oxycodone/acetaminophen 5/325 mg ( n = 91 ) , or placebo ( n = 31 ) .",5,12,RESULTS
16782094,16782094_7_11,"Pioglitazone treatment resulted in significantly lower levels of fasting insulin and significantly higher insulin sensitivity , increased insulin-stimulated glucose oxidation , and increased insulin-stimulated inhibition of lipid oxidation .",7,11,RESULTS
16460239,16460239_6_11,No statistical differences were found between test and control groups in relation to PD at the different timepoints .,6,11,RESULTS
9517646,9517646_14_15,"pylori regimen , a simpler , cheaper , well-tolerated , and equally effective alternative to 1-wk triple therapy .",14,15,CONCLUSIONS
18406674,18406674_2_16,Forty consecutive patients with strangulated inguinal hernia were randomized ( according to a random table ) to undergo either a preperitoneal or a Lichtenstein repair under general anesthesia .,2,16,METHODS
25592197,25592197_6_11,Adverse events occurred in 48.6 % of patients receiving dapagliflozin and 51.4 % receiving placebo .,6,11,RESULTS
18028460,18028460_4_17,"A double-blind , placebo-controlled , randomized cross-over study was conducted in 15 healthy adults and 15 patients with AD .",4,17,METHODS
21109054,21109054_2_17,Subjects with nonspecific chronic neck pain ( 3 months ) were randomized to receive either sedative massage or cervical spine joint mobilization in addition to postural education and home exercises .,2,17,METHODS
16243115,16243115_4_11,"Resveratrol , at concentration of 70 microM caused relaxations of 34.2 + / -5.7 % in saphenous vein and 35.2 + / -5.4 % in internal mammary artery .",4,11,RESULTS
24090047,24090047_1_11,"From this perspective , awareness of the importance of studies about drug effectiveness on treatment discontinuation rate , remission rate , and improvement in QOL has grown recently .",1,11,BACKGROUND
20193794,20193794_1_12,The importance of using a circular mapping ( CM ) catheter for assessing isolation of the pulmonary vein ( PV ) antrum on the outcome of the procedure has not been clearly established .,1,12,BACKGROUND
24712855,24712855_0_16,Family-based treatment is an efficacious outpatient intervention for medically stable adolescents with anorexia nervosa .,0,16,BACKGROUND
21796066,21796066_3_10,The secondary efficacy variable was change from baseline in the bone formation marker serum bone-specific alkaline phosphatase .,3,10,METHODS
18458640,18458640_3_9,"Serum ferritin , serum iron , total iron binding capacity , and transferrin-iron saturation were measured at baseline , during treatment , and 4 weeks thereafter .",3,9,METHODS
23865839,23865839_0_13,Cardiovascular disease is the leading cause of mortality in Type 1 diabetes ( T1D ) .,0,13,BACKGROUND
19448045,19448045_2_9,"Two enteral formulas ( 47 energy percent [ En % ] carbohydrate , 34En % fat , and 4 g fiber/200 mL ) were defined with either isomaltulose ( formula 1 ) or sucromalt ( formula 2 ) as the main carbohydrate source .",2,9,METHODS
15829326,15829326_1_17,"Further , to compare the crossover group with patients not receiving chemotherapy .",1,17,OBJECTIVE
19695922,19695922_3_10,"Safety parameters were vomiting , nausea , mucositis , laryngeal edema , esophagus and skin reaction , dysphagia , dyspnea , neurological deficit .",3,10,METHODS
23764108,23764108_9_11,"This study shows that short-term training with reflection improves the confidence of health care staff when communicating , which is important for health care managers with limited resources .",9,11,CONCLUSIONS
22040589,22040589_0_8,To test a social cognitive behavior change model and identify mediators of the effects of the Parents Speak Up National Campaign ( PSUNC ) on parent-child sexual communication .,0,8,OBJECTIVE
10487404,10487404_8_10,"Corresponding with the increase of salivation , oral discomfort and inflammation were improved or resolved in 41 patients of the AT group within about 4 weeks , whereas improvement was observed in only nine patients of the control group .",8,10,RESULTS
22963759,22963759_5_10,Operative time and intra-operative blood loss were both significantly less for the guillotine technique ( p < 0.001 ) and there was a significantly reduced haemostasis requirement ( p < 0.001 ) .,5,10,RESULTS
15852407,15852407_3_12,The current study included 263 patients with LD-SCLC and an Eastern Cooperative Oncology Group performance status of < or = 2 who were randomized to receive QDRT or split-course BIDRT .,3,12,METHODS
12940195,12940195_5_16,The combined data of the three trials were submitted to intent-to-treat analysis .,5,16,METHODS
18753120,18753120_3_12,Primary endpoint was body composition change by dual X-ray absorptiometry ( DXA ) and computed tomography ( CT ) .,3,12,METHODS
9890849,9890849_9_12,"At a dose of 40 parts per million , nitric oxide inhalation increased PaO2 ( change from baseline , 12.0 mm Hg [ 95 % CI , 2.3 to 21.7 mm Hg ] ; P = 0.014 ) and decreased the alveolar-arterial difference in partial pressure of oxygen ( change , -8.6 mm Hg [ CI , -16.8 to -0.4 mm Hg ] ; P = 0.038 ) and the ventilatory equivalent for carbon dioxide output ( change , -6.7 [ CI , -10.3 to -3.1 ] ; P < 0.001 ) .",9,12,RESULTS
16868708,16868708_12_15,"( Group B : 8.61 vs. 4.11 nmol/ml , P < 0.02 < 0.05 ) .",12,15,RESULTS
20381871,20381871_6_12,"Mean ( 95 % confidence interval [ CI ] ) change from baseline BCVA letter score at month 6 was 12.7 ( 9.9-15 .4 ) and 14.9 ( 12.6-17 .2 ) in the 0.3 mg and 0.5 mg ranibizumab groups , respectively , and 0.8 ( -2.0 to 3.6 ) in the sham group ( P < 0.0001 for each ranibizumab group vs. sham ) .",6,12,RESULTS
16750451,16750451_0_19,A once-daily extended-release galantamine ( GAL-ER ) formulation has been designed to improve tolerability compared with twice-daily immediate-release galantamine ( GAL-IR ) .,0,19,BACKGROUND
20919904,20919904_5_13,This 2-step procedure was repeated until 10 nave steers ( group ND ) were injected .,5,13,METHODS
21385158,21385158_4_10,"The secondary outcomes were morphine consumption , pre-operative anxiety ( VAS ) and the occurrence of side effects .",4,10,METHODS
16522387,16522387_3_7,"There was a statistically significant 23 % relative risk reduction in operative delivery for nonreassuring fetal status in the fetal pulse oximetry + cardiotocograph group ( n = 75 of 305 , 25 % ) , compared with those in the cardiotocograph-only group ( n = 95/295 , 32 % ) ( relative risk 0.77 , 95 % confidence interval 0.599 , 0.999 , P = .048 ) .",3,7,RESULTS
25042290,25042290_6_14,The control group received no compensation .,6,14,METHODS
23886884,23886884_7_11,"Except for the first lesson , the trainees in the TALUVA group operated faster than those in the other group .",7,11,RESULTS
24373307,24373307_9_16,"The 8-IM group 's m2 response was non-inferior to the 8-SQ group for the three primary endpoints of anti-protective antigen IgG geometric mean concentration ( GMC ) , geometric mean titer , and proportion of responders with a 4-fold rise in titer .",9,16,RESULTS
10368039,10368039_9_10,"There was no influence of normobaric oxygen treatment on the overall outcome to radiotherapy in patients with stage II cervical cancer , but subgroup analyses support the hypothesis that there is tumor areas of hypoxia-based radioresistance that may be counteracted by oxygen administration .",9,10,CONCLUSIONS
22929242,22929242_4_12,"Continuous free flap skin blood flow monitoring was performed using laser Doppler velocimetry , with a second sensor on normal skin acting as a control .",4,12,METHODS
9781732,9781732_11_17,"Clinical Asthma Score decreased in the 13 randomized patients ( mean 0.46 , p < .05 ) and in the 18 patients overall ( mean 1.23 , p < .01 ) during helium-oxygen delivery .",11,17,RESULTS
11903211,11903211_1_10,The objective of this study was to evaluate the effect of postpartum positioning and attachment education on breastfeeding outcomes in first-time mothers .,1,10,BACKGROUND
14652528,14652528_5_10,Participants completed 1 exercise session accompanied by music and a second exercise session without music .,5,10,METHODS
12810695,12810695_7_12,Toxic effects of IL-2 were as anticipated ; no unexpected serious adverse events or treatment-related deaths occurred .,7,12,RESULTS
22989372,22989372_8_12,Two subjects had severe adverse events requiring prednisolone to cope with nocturnal asthma symptoms .,8,12,RESULTS
22104549,22104549_8_15,The proportion of clinical responders ( 20 % increase in exercise duration ) to LV and BiV pacing was 48.0 % and 55.1 % ( P = 0.1615 ) .,8,15,RESULTS
23902798,23902798_2_16,"Numerous research studies have demonstrated that short-term cognitive-behavioral psychotherapies , such as Cognitive Processing Therapy ( CPT ) , lead to substantial and sustained improvements in PTSD symptoms .",2,16,BACKGROUND
23321385,23321385_7_9,Sucromalt may help attenuate the perceived decline in mental and physical energy and rise in mental and physical fatigue that can occur 4-5 hours after ingestion of a high GI beverage .,7,9,CONCLUSIONS
23107038,23107038_13_15,Our study is expected to provide sufficient evidence of short-term combination exercise 's effectiveness .,13,15,CONCLUSIONS
19616778,19616778_3_6,"Women who received misoprostol had significantly fewer bleeding days after evacuation ( 4.11 + / -2.69 vs 5.89 + / -3.06 ; P < 0.001 ) , fewer patients reported vaginal bleeding lasting 10 days or more ( 3.8 % vs 15.0 % ; P = 0.014 ) , and endometrial thickness 10 days after evacuation was less ( 6.25 + / -2.38 vs 7.23 + / -1.94 ; P = 0.05 ) .",3,6,RESULTS
9273036,9273036_5_11,Individuals in the placebo group received the same volume of saline ( 0.9 % ) .,5,11,METHODS
20964740,20964740_8_13,"The ND reduced insulin ( -9 % , P = 0.01 ) and systolic BP by -6.6 13.2 mmHg ( -5 % , P < 0.05 ) compared with the control diet .",8,13,RESULTS
16389160,16389160_8_10,Their combination may be slightly better than monotherapies on DAN and LVDD .,8,10,CONCLUSIONS
18086727,18086727_0_12,Assess the effect of abatacept on progression of structural damage over 2 years in patients with rheumatoid arthritis who had an inadequate response to methotrexate .,0,12,OBJECTIVE
12792664,12792664_10_13,"TBA-MDA increased modestly after long-term intervention with n-3 PUFAs compared to corn oil post-MI , suggesting biological changes induced by n-3 PUFAs , rather than simply reflecting their concentration differences .",10,13,CONCLUSIONS
15759218,15759218_1_14,"Randomized , controlled , multiple baseline , pre-post , case series .",1,14,METHODS
23083313,23083313_2_10,"A household response rate of only 34.6 % was attained , and those of lower socioeconomic status , lower education and new Canadians were underrepresented .",2,10,BACKGROUND
16950506,16950506_4_10,Voids at the adhesive joint were highly predictive of bond strengths .,4,10,RESULTS
24054956,24054956_10_11,"In septuagenarian patients with atrial fibrillation , compared with rhythm-control , a rate-control strategy was associated with significantly lower mortality and hospitalization .",10,11,CONCLUSIONS
23116213,23116213_14_15,There was no evidence of further benefit of the additional lifestyle support services in terms of absolute CVD risk reduction .,14,15,CONCLUSIONS
18418653,18418653_2_11,The study was powered to detect a 30-minute reduction in operative time between hand-assisted laparoscopic and straight laparoscopic groups .,2,11,METHODS
19005196,19005196_6_10,"The ratings of neuropsychological measures , depression , and anxiety were not modified by stimulation .",6,10,RESULTS
16804038,16804038_7_16,Saline or a submaximally stimulatory amount of ghrelin ( 0.3 microg/kg ) was infused iv on separate randomly ordered mornings fasting after 17-21 d of Pl or E ( 2 ) administration .,7,16,METHODS
14769577,14769577_9_11,"Of the 9 patients requiring radioactive iodine ablation , reoperation was avoided in 5 group 1 patients ; the remaining 4 group 2 patients underwent completion thyroidectomy ( P = .007 ) .",9,11,RESULTS
9099655,9099655_10_11,This diet offers an additional nutritional approach to preventing and treating hypertension .,10,11,CONCLUSIONS
12377914,12377914_10_11,Our findings are specific to the implants evaluated in this study .,10,11,CONCLUSIONS
23992914,23992914_4_10,All patients were requested to complete questionnaires concerning patient-physician communication after the first consultation and concerning psychosocial care 3 and 12 months post-intervention .,4,10,METHODS
15500894,15500894_6_15,Nine patients ( six [ brachytherapy ] vs three [ stent placement ] ) did not receive their allocated treatments .,6,15,RESULTS
9567633,9567633_6_9,"Heart rate immediately after intubation , and after 3 and 5 minutes was significantly lower in the lidocaine group .",6,9,RESULTS
18462734,18462734_9_15,"Pharmaceutically , tests for swelling , surface pH , in vitro and in vivo bioadhesion and in vitro release expressed satisfactory results .",9,15,RESULTS
14623704,14623704_0_15,"To compare the efficacy and safety of a novel formulation of 15 % azelaic acid gel ( Finacea ; Berlex Laboratories , Inc , Montville , NJ ) with 0.75 % metronidazole gel ( MetroGel ; Galderma Laboratories LP , Fort Worth , Tex ) as topical therapy for moderate , papulopustular facial rosacea .",0,15,OBJECTIVE
17447874,17447874_8_9,More research is needed on sequential and simultaneous intervening modes .,8,9,CONCLUSIONS
24120271,24120271_6_12,One hundred and eighty-six aSAH patients were recruited over a 30 month period during admission .,6,12,RESULTS
9065296,9065296_10_18,The 5-year survival rate was 44 % in group 1 and 36 % in group 2 .,10,18,RESULTS
17707010,17707010_9_16,Of the 27 children in each group 23 ( 85 % ) received methylphenidate for attention deficit hyperactivity disorder .,9,16,RESULTS
24681658,24681658_0_13,Little is known about thermoregulation of the newborn while bonding on the mother 's chest immediately after cesarean delivery .,0,13,BACKGROUND
16636123,16636123_2_12,The objective of the study was to determine whether prolonged exposure ( 6 months ) to low levels of perchlorate would perturb thyroid function .,2,12,OBJECTIVE
22721656,22721656_14_15,"( SYNTAX Study : TAXUS Drug-Eluting Stent Versus Coronary Artery Bypass Surgery for the Treatment of Narrowed Arteries , NCT00114972 ) .",14,15,CONCLUSIONS
23173326,23173326_7_8,EGCG can inhibit collagen degradation and improve the antierosive effect of dentine .,7,8,CONCLUSIONS
20966375,20966375_4_8,Adding video lessons alone ( study 1 ) did not result in significantly improved weight loss ( 2.0 2.8 kg vs 1.4 2.9 kg ; P = .15 ) .,4,8,RESULTS
11403522,11403522_2_13,"Measures of symptom severity and unscheduled daytime were obtained at baseline and at the end of the two-week treatment period , using the Narcolepsy Symptom Status Questionnaire ( NSSQ ) and 24-hour ambulatory polysomnographic monitoring .",2,13,METHODS
16983913,16983913_6_9,The whole recipe of ZC showed the therapeutic effect superior to that of the other treatments ( P < 0.05 ) .,6,9,RESULTS
25300286,25300286_9_15,FACS analysis showed no difference in number of circulating EPC between the groups after 4 weeks and 4 months .,9,15,RESULTS
26321103,26321103_10_11,"( Funded by the French Ministry of Health and NeuroVive Pharmaceutical ; CIRCUS ClinicalTrials.gov number , NCT01502774 ; EudraCT number , 2009-013713-99 . )",10,11,CONCLUSIONS
16339095,16339095_9_11,"Patients with moderate-to-severe active ulcerative colitis treated with infliximab at weeks 0 , 2 , and 6 and every eight weeks thereafter were more likely to have a clinical response at weeks 8 , 30 , and 54 than were those receiving placebo .",9,11,CONCLUSIONS
16926933,16926933_4_17,Primary care practices in the Toronto area .,4,17,METHODS
21277016,21277016_2_15,This study aimed to test this hypothesis .,2,15,BACKGROUND
17541337,17541337_3_12,Screening tests were performed in 78 subjects ( 28 % ) had never been screened before and in 196 subjects ( 72 % ) who had had a negative HCV screening test on average 12 months prior to the beginning of the study .,3,12,METHODS
8878241,8878241_8_11,Treatment-related side effects occurred in 3.5 % of the azithromycin patients compared with 31.0 % of amoxicillin/clavulanate patients ( P < 0.001 ) .,8,11,RESULTS
16788808,16788808_3_11,"Eligibility criteria excluded the two tails in the spectrum of critical conditions , i.e. , patients either too well or too ill .",3,11,METHODS
17641003,17641003_0_8,To assess the hypothesis that magnesium deficiency is associated with elevated high-sensitivity C-reactive protein ( hsCRP ) levels .,0,8,OBJECTIVE
18209515,18209515_6_11,VA compared with SA induced a stronger decrease of high-frequency power .,6,11,RESULTS
15250199,15250199_3_7,"As compared with before operation in the treated group , MDA was higher and SOD was lower at 2 hrs , 24 hrs after operation ( P < 0.05 ) ; IL-6 and TNF-alpha were significantly lower at 24 hrs , 48 hrs and 1 week ( P < 0.05 , P < 0.01 ) and the Tei began to be improved at 24 hrs ( P < 0.05 ) and significantly improved at 1 week after operation ( P < 0.01 ) .",3,7,RESULTS
24920292,24920292_1_11,We aimed to estimate the time frame of changes in irisin levels after acute exercise and the effect of different exercise workloads and intensities on circulating irisin levels immediately post-exercise .,1,11,BACKGROUND
16877984,16877984_1_11,"The secondary objective was to compare the safety , the efficacy , the ease of IV line placement and the ease of separation from parents between the 2 groups .",1,11,OBJECTIVE
16538452,16538452_3_13,"Follow-up visits occurred at 3-month intervals through to month 48 , with a final follow-up visit at month 60 .",3,13,METHODS
24876261,24876261_0_11,The Interventional Management of Stroke ( IMS ) III study tested the effect of intravenous tissue-type plasminogen activator ( tPA ) alone when compared with intravenous tPA followed by endovascular therapy and collected cost data to assess the economic implications of the 2 therapies .,0,11,OBJECTIVE
24067159,24067159_4_11,The diagnosis of atrial septal aneurysm was made when the base of the aneurysms with an excursion ratio 25 % was found on echocardiography .,4,11,METHODS
21099725,21099725_9_14,"Patients treated with prednisolone within 24 hours and 25 to 48 hours had significantly higher complete recovery rates , 66 % ( 103/156 ) and 76 % ( 128/168 ) , than patients given no prednisolone , 51 % ( 77/152 ) and 58 % ( 102/177 ) ( p = 0.008 and p = 0.0003 , respectively ) .",9,14,RESULTS
7484996,7484996_2_8,"Initially , a negative correlation was found between nucleation time and number of gallstones and between total biliary protein concentration and nucleation time ( r = -0.52 and r = -0.49 in group I vs r = -0.56 and r = -0.51 in group II , p < 0.01 in each group ) .",2,8,RESULTS
20029984,20029984_2_11,Five hundred sixty-two patients undergoing thyroidectomy were prospectively enrolled in the study and divided into 2 groups .,2,11,METHODS
18460557,18460557_9_11,"A marked decrease in central adiposity could partly explain the improvements in reproductive function , insulin-glucose parameters , and adiponectin observed in these overweight women with PCOS treated with COM therapy .",9,11,CONCLUSIONS
23290324,23290324_8_10,Findings suggest that metadoxine ER is a well-tolerated and effective treatment for adults with ADHD .,8,10,CONCLUSIONS
24253758,24253758_3_15,"Fifteen subjects with MetS participated in this acute , randomised , cross-over intervention study .",3,15,METHODS
23075413,23075413_3_17,"Besides gonadotropin ( Gn ) therapy in both groups , the treatment group received ETG for 3 menstrual cycles before IVF , and the control group received placebo granules .",3,17,METHODS
24172538,24172538_4_13,The level of positive end-expiratory pressure and fraction of inspired oxygen were kept unchanged in both modes .,4,13,METHODS
15951736,15951736_3_11,"All subjects were evaluated by means of 24 h bladder diaries , quality of life questionnaires ( I-QoL , SF36 ) and urodynamic evaluation before and after treatment .",3,11,METHODS
11218239,11218239_2_14,"This study describes changes in body weight ( BW ) and composition , 24-h urine creatinine excretion , intestinal fatty acid absorption ( total , saturated , unsaturated and EFA ) , and EFA status in relation to treatment with GH + GLN in 8 short bowel patients .",2,14,BACKGROUND
25766269,25766269_8_13,"Participants in Treatment group showed statistically significant improvement in depression ( p = 0.000 ) , anxiety ( p = 0.000 ) , somatic symptoms ( p = 0.005 ) and disability ( p = 0.000 ) .",8,13,RESULTS
20518267,20518267_6_11,Results are expressed as a percentage of shortening .,6,11,METHODS
12042266,12042266_14_16,"Study 3 , in which 40 women were included , failed to show any additional benefit using combination therapy with danazol and trilostane .",14,16,RESULTS
10807887,10807887_1_11,"Fourteen healthy volunteers participated in a double blind , placebo controlled , randomised study .",1,11,METHODS
25779750,25779750_7_13,A total of 237 patients who were receiving MTX therapy were randomized and received 1 dose of study medication .,7,13,RESULTS
19690194,19690194_3_12,"Immunohistochemistry was used to test expression of TERT , SMAD4 , p53 , and TYMS .",3,12,METHODS
25493316,25493316_6_13,"The odds ratio ( OR ) of a correct diagnosis in the intervention group , compared to control group , was 1.51 ( 95 % CI : 0.962.37 ) P = 0.07 .",6,13,RESULTS
17363530,17363530_6_12,"Objective responses were observed in 6 ( 27 % ) patients , including two partial responses and four minor responses .",6,12,RESULTS
21167334,21167334_8_10,ARCTIC tests the hypothesis of personalized oral antiplatelet therapy at the time of and after DES implantation .,8,10,CONCLUSIONS
22413962,22413962_3_14,"Each trial had three arms : dapagliflozin plus metformin , dapagliflozin monotherapy and metformin monotherapy .",3,14,METHODS
24170766,24170766_4_9,"On control nights , the usual basal rates were continued ; on experimental nights , the basal insulin infusion was reprogrammed for a 2-h zero basal rate at random times after 11:30 p.m.",4,9,METHODS
23067229,23067229_3_9,"In addition , the effects of CR on hepatic steatosis and fetuin-A mRNA expression were evaluated in Otuska Long Evans Tokushima Fatty ( OLETF ) rats , an animal model of obesity and type 2 diabetes .",3,9,METHODS
9546566,9546566_3_11,A total of 100 generally healthy and neurologically intact patients scheduled for radical retropubic prostatectomy for the treatment of prostate cancer in whom an epidural catheter for treating postoperative pain was to be placed prior to the induction of general anesthesia .,3,11,METHODS
22805543,22805543_8_9,The above observations effectively illustrate changes in patterns of RV contraction and relaxation caused by PHT .,8,9,CONCLUSIONS
11000645,11000645_14_16,Paroxetine showed moderate benefit for depressive symptoms and mental health function in elderly patients with dysthymia and more severely impaired elderly patients with minor depression .,14,16,CONCLUSIONS
18726956,18726956_11_13,No procedural variables were found to be associated with radial artery occlusion .,11,13,RESULTS
22781456,22781456_10_13,TB ( ( 18 15 ) vs ( 18 11 ) mol/L ) and DB ( ( 8.9 3.2 ) vs ( 8.8 2.5 ) mol/L ) had no significant differences in two groups ( P > 0.05 ) .,10,13,RESULTS
21330044,21330044_12_13,This suggests that CPR quality is improved using MMV compared to MPV and BMV .,12,13,CONCLUSIONS
17335818,17335818_5_13,Folliculometry was performed to assess ovulation .,5,13,METHODS
21193066,21193066_7_9,"If successful in reducing TB incidence and prevalence , this trial has potential to make a major contribution to TB control policy in high HIV settings , providing evidence concerning efficacy , and additionally safety and population-level effects on drug susceptibility patterns .",7,9,CONCLUSIONS
18402714,18402714_6_13,"Item Response Theory analysis yielded two traits - ` Psychosocial Independence ' , derived from the number of days with activity limitations plus the Role Emotional , Social Functioning and Role Physical subscale items from the SF-36 ; and ` Physical Independence ' , derived from 15 HAQ items assessing need for help from another .",6,13,RESULTS
19123930,19123930_16_18,"Furthermore , the costs of these programs should be refunded by including them in the basic health care cost reimbursement schemes .",16,18,CONCLUSIONS
9311407,9311407_5_13,Postoperative pain at rest was assessed using visual analogue scale ( VAS ) scores and pain at movement by Prince Henry Pain Scale ( PHPS ) scores .,5,13,METHODS
22773233,22773233_6_12,Pain was significantly less common in group 1 than in group 2 at 1 month ( P = 0.029 ) but was similar for the two groups at 6 months and 1 year .,6,12,RESULTS
22819247,22819247_12_14,A persistent problem in neuromodulation studies has been the selection of stimulation parameters and electrode location to provide optimal therapeutic response .,12,14,CONCLUSIONS
14600517,14600517_4_11,A subset were tested for HIV plasma viral load at 48 weeks .,4,11,METHODS
15498373,15498373_0_11,Bell 's palsy involves acute facial paralysis due to inflammation of the facial nerve .,0,11,BACKGROUND
14967728,14967728_8_9,Low HRV independently identified a subpopulation at high risk of mortality .,8,9,CONCLUSIONS
25363118,25363118_3_12,This study is quasi-experimental study .,3,12,METHODS
22678104,22678104_6_8,There were no statistically significant differences in serum MDA levels or SOD activity after placebo intervention .,6,8,RESULTS
24444257,24444257_10_19,"salivarius , Strep .",10,19,RESULTS
25062747,25062747_1_13,"Although Cognitive-Behaviour Therapy ( CBT ) has been shown to be an effective treatment for OCD , this specialised treatment is unavailable to many due to access issues and the social stigma associated with seeing a mental health specialist .",1,13,BACKGROUND
11201778,11201778_9_13,Only one out of 43 eyes ( assigned to the ofloxacin group ) developed a peripheral corneal infiltrate .,9,13,RESULTS
10696747,10696747_1_12,Fifty-seven patients were entered into the study .,1,12,METHODS
10442197,10442197_4_9,After exposure to both pump types patients were asked to indicate their preferred device .,4,9,METHODS
11480646,11480646_6_10,"Using the Fisher exact test to compare the groups at five years , the authors found no significant difference in failure rate , marginal adaptation , marginal discoloration , secondary caries , tooth sensitivity or tooth vitality .",6,10,RESULTS
18330955,18330955_4_12,"Group 3 , consisting of 19 obese children , received oral vitamin E therapy at a dose of 100 mg/d .",4,12,METHODS
7834482,7834482_5_9,"The number of patients affected by immediate minor complications was lower with Optiray 240 ( 11 [ 44 % ] ) than with Optiray 320 ( 23 [ 92 % ] ) ( p < 0.001 , chi 2 test ) .",5,9,RESULTS
11497156,11497156_0_10,To evaluate whether high volume haemofiltration improves haemodynamics and affects serum cytokine and complement concentrations in human septic shock .,0,10,OBJECTIVE
20706110,20706110_12_17,Children receiving intermittent CPT also spent more days in hospital [ incidence rate ratio 1.15 ( 95 % CI 1.04-1 .28 ) ] .,12,17,RESULTS
24931900,24931900_1_14,"This is not a patient centered method , nor , in times of increasing COPD prevalence and resource constraints , perhaps the optimal method .",1,14,BACKGROUND
11568372,11568372_3_18,Sedation over 48 h of observation .,3,18,RESULTS
23001257,23001257_4_10,"Of 327 patients , 38 ( 11.6 % ) had SS : 21 ( 6.4 % ) with primary SS ( pSS ) , and 17 ( 5.2 % ) with secondary SS .",4,10,RESULTS
22097612,22097612_8_9,Both entecavir and adefovir dipivoxil might have a good response to lamivudine-resistant HBeAg-negative chronical hepatitis B. Entecavir could achieve better therapeutic effects .,8,9,CONCLUSIONS
21167315,21167315_11_12,Use of nonfluoroscopic imaging during SVT ablation in children resulted in substantial and immediate reductions in fluoroscopy time and radiation exposure without change in acute success or adverse event rates but did increase overall procedural time .,11,12,CONCLUSIONS
18834243,18834243_0_14,This randomized controlled clinical trial was designed to compare the clinical outcomes of guided tissue regeneration with calcium sulfate graft and membrane ( CS ) versus guided tissue regeneration with collagen membrane ( CM ) or open flap debridement ( OFD ) only in terms of clinical attachment gain in periodontal intrabony defects .,0,14,BACKGROUND
7594126,7594126_11_12,"Such approaches can be successfully incorporated into treatment programs and will assist the dietitian in promoting adherence to usual - , low - , and very-low-protein eating patterns .",11,12,CONCLUSIONS
21943111,21943111_1_14,"Persistent hypovolemia is associated with complications , but fluid overload is also harmful .",1,14,BACKGROUND
18086314,18086314_5_17,Improving postural instabilities associated with FAI has implications for increasing ankle joint stability and decreasing recurrent ankle sprains .,5,17,BACKGROUND
